GameID,Date,home,away,homescore,awayscore,Season,weather_summary,weather_icon,precip_intensity,precip_probability,temperature,apparent_temperature,dew_point,humidity,pressure,wind_speed,wind_gust,wind_bearing,cloud_cover,visibility,attendance
2017090700,9/7/17,NE,KC,27,42,2017,Clear,clear-day,0,0,83.4,83.4,23.13,0.11,1007.84,1.58,5.07,208,0.12,10,65878
2017091000,9/10/17,BUF,NYJ,21,12,2017,Clear,clear-day,0,0,91.01,91.01,37.28,0.15,1006.04,3.56,7.12,152,0,10,68751
2017091008,9/10/17,WAS,PHI,17,30,2017,Clear,clear-day,0,0,89.93,89.93,20.02,0.08,1017.91,0.43,4.35,23,0.12,10,78685
2017091007,9/10/17,TEN,OAK,16,26,2017,Clear,clear-day,0,0,82.84,82.84,46.98,0.29,1012.41,1.29,3.84,181,0.04,10,69089
2017091005,9/10/17,HOU,JAX,7,29,2017,Clear,clear-day,0,0,83.21,83.21,34.78,0.18,1015.19,0.41,2.71,176,0.2,10,71710
2017091004,9/10/17,DET,ARI,35,23,2017,Partly Cloudy,partly-cloudy-day,0,0,77.72,77.72,40.59,0.27,1011.85,3.65,6.58,156,0.31,10,60957
2017091003,9/10/17,CLE,PIT,18,21,2017,Mostly Cloudy,partly-cloudy-day,0,0,75.74,75.74,15.62,0.1,1021.76,4.96,9.46,70,0.64,10,67431
2017091001,9/10/17,CHI,ATL,17,23,2017,Partly Cloudy,partly-cloudy-day,0,0,64.2,64.2,23.08,0.21,1020.17,0.23,2.85,178,0.32,10,61857
2017091002,9/10/17,CIN,BAL,0,20,2017,Mostly Cloudy,partly-cloudy-day,0,0,85.53,88.04,66.41,0.53,1017.78,0.39,4.27,9,0.65,4.11,55254
2017091009,9/10/17,LA,IND,46,9,2017,Partly Cloudy,partly-cloudy-day,0,0,70.89,70.89,45.96,0.41,1022.15,4.56,9.85,66,0.32,3.87,60128
2017091011,9/10/17,SF,CAR,3,23,2017,Mostly Cloudy,partly-cloudy-day,0.0002,0.02,80.83,84.08,69.42,0.68,1018.79,1.71,4.96,225,0.83,3.48,70178
2017091010,9/10/17,GB,SEA,17,9,2017,Drizzle,rain,0.009,0.59,46.64,46.64,44.42,0.92,1026.81,1.82,3.97,50,1,3.24,78381
2017091012,9/10/17,DAL,NYG,19,3,2017,Clear,clear-day,0,0,61.64,61.64,26.98,0.27,1020.06,4.76,9.78,318,0.03,3.75,93183
2017091100,9/11/17,MIN,NO,29,19,2017,Partly Cloudy,partly-cloudy-day,0,0,67.85,67.85,43.76,0.42,1020.58,1.12,4.59,342,0.3,3.65,66606
2017091101,9/11/17,DEN,LAC,24,21,2017,Mostly Cloudy,partly-cloudy-day,0,0,48.5,48.5,28.4,0.45,1020.07,2.61,5.22,314,0.66,3.72,76324
2017091400,9/14/17,CIN,HOU,9,13,2017,Overcast,cloudy,0,0,35.72,33.41,25.28,0.65,1021.95,3.09,6,316,0.97,3.56,52942
2017091700,9/17/17,BAL,CLE,24,10,2017,Mostly Cloudy,partly-cloudy-day,0,0,80.27,83.33,69.37,0.7,1019.27,2.21,5.82,96,0.62,9.47,70605
2017091707,9/17/17,TB,CHI,29,7,2017,Clear,clear-day,0,0,67.12,67.12,47.08,0.49,1027.42,1.28,5.66,118,0.13,10,56640
2017091706,9/17/17,PIT,MIN,26,9,2017,Overcast,cloudy,0.0002,0.03,72.6,73.29,65.86,0.79,1013.83,3.56,8.39,206,0.98,9.68,65971
2017091705,9/17/17,NO,NE,20,36,2017,Partly Cloudy,partly-cloudy-day,0,0,58.39,58.39,38.03,0.47,1010.3,5.29,12.87,298,0.25,10,73168
2017091704,9/17/17,KC,PHI,27,20,2017,Clear,clear-day,0,0,57.55,57.55,32.9,0.39,1019.71,3.73,9.49,291,0,10,74971
2017091703,9/17/17,JAX,TEN,16,37,2017,Clear,clear-day,0,0,54.27,54.27,36.4,0.51,1022.3,2.03,6.99,318,0.18,8.92,61709
2017091702,9/17/17,IND,ARI,13,16,2017,Drizzle,rain,0.0074,0.51,61.74,61.74,56.28,0.82,1004.87,6.25,16.55,208,1,10,63137
2017091701,9/17/17,CAR,BUF,9,3,2017,Overcast,cloudy,0,0,19.14,10.96,0.41,0.43,1027.5,5.95,14.98,330,0.98,10,74122
2017091709,9/17/17,OAK,NYJ,45,20,2017,Partly Cloudy,partly-cloudy-day,0,0,65.68,65.68,48.31,0.53,1031.66,2.36,6.94,21,0.28,10,54729
2017091708,9/17/17,LAC,MIA,17,19,2017,Clear,clear-day,0,0,87.91,92.75,69.62,0.55,1019.65,0.84,4.81,197,0.13,10,25381
2017091712,9/17/17,SEA,SF,12,9,2017,Partly Cloudy,partly-cloudy-day,0,0,77.08,77.08,52.01,0.42,1022.16,2,5.64,184,0.44,10,68729
2017091711,9/17/17,LA,WAS,20,27,2017,Light Rain,rain,0.0343,0.9,43.07,43.07,41.18,0.93,1005.58,2.98,5.77,5,0.97,10,56612
